Name,Type,ObjectType,Members,Value,Description,UUID,DateTime
"net_1_2_1_0_24","Object","Network Object","","1.2.1.0/24","Network object for static route 1.2.1.0/24","0050569B-DF62-0ed3-0000-017179925127","2025-09-06 14:20:43"
"net_1_3_1_0_24","Object","Network Object","","1.3.1.0/24","Network object for static route 1.3.1.0/24","0050569B-DF62-0ed3-0000-017179925192","2025-09-06 14:20:43"
"NET_APPS","Object","Network Object","","172.20.30.0/24","","0050569B-DF62-0ed3-0000-004295153903","2025-09-06 14:20:43"
"NET_USERS","Object","Network Object","","172.20.10.0/24","","0050569B-DF62-0ed3-0000-004295153885","2025-09-06 14:20:43"
"outside_network","Object","Network Object","","192.168.200.0/24","","0050569B-DF62-0ed3-0000-004295214267","2025-09-06 14:20:43"
"Vlan_197_inside","Object","Network Object","","192.168.197.0/24","Vlan 197","0050569B-DF62-0ed3-0000-004295215495","2025-09-06 14:20:43"
"any","Group","Network Group","0.0.0.0/0; ::/0","any","","69fa2a3a-4487-4e3c-816f-4098f684826e","2025-09-06 14:20:43"
"IPv4-Private-All-RFC1918","Group","Network Group","10.0.0.0/8; 172.16.0.0/12; 192.168.0.0/16","IPv4-Private-All-RFC1918","","15b12b14-dace-4117-b9d9-a9a7dcfa356f","2025-09-06 14:20:43"
"USERS_AND_WEB","Group","Network Group","NET_USERS; HOST_WEB_1","USERS_AND_WEB","","0050569B-DF62-0ed3-0000-004295171327","2025-09-06 14:20:43"
"AOL","Object","Port Object","","5190","","1834d812-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"Bittorrent","Object","Port Object","","6881-6889","","1834e5f0-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"DNS_over_TCP","Object","Port Object","","53","","1834e712-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"DNS_over_UDP","Object","Port Object","","53","","1834e8ca-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"FTP","Object","Port Object","","21","","1834c674-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"HTTP","Object","Port Object","","80","","18312adc-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"HTTPS","Object","Port Object","","443","","1834bd00-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"IMAP","Object","Port Object","","143","","1834c37c-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"LDAP","Object","Port Object","","389","","1834d01a-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"NFSD-TCP","Object","Port Object","","2049","","1834c9c6-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"NFSD-UDP","Object","Port Object","","2049","","1834caac-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"NTP-TCP","Object","Port Object","","123","","1834cb92-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"NTP-UDP","Object","Port Object","","123","","1834cc96-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"POP-2","Object","Port Object","","109","","1834c462-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"POP-3","Object","Port Object","","110","","1834c548-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"RADIUS","Object","Port Object","","1645","","1834ce94-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"RIP","Object","Port Object","","520","","1834d114-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SIP","Object","Port Object","","5060","","1834d204-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SMTP","Object","Port Object","","25","","1834bf44-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SMTPS","Object","Port Object","","465","","1834c07a-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SNMP","Object","Port Object","","161","","1834c264-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SSH","Object","Port Object","","22","","1834c890-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"SYSLOG","Object","Port Object","","514","","1834d6e6-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"TCP_443","Object","Port Object","","443","","0050569B-DF62-0ed3-0000-004295153921","2025-09-06 14:20:43"
"TCP_8443","Object","Port Object","","8443","","0050569B-DF62-0ed3-0000-004295153939","2025-09-06 14:20:43"
"TCP_high_ports","Object","Port Object","","1021-65535","","1834e50a-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"TELNET","Object","Port Object","","23","","28e058e4-43b0-11e2-9bcd-7c2f9ed9bbee","2025-09-06 14:20:43"
"TFTP","Object","Port Object","","69","","1834d5e2-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"UDP_53","Object","Port Object","","53","","0050569B-DF62-0ed3-0000-004295153957","2025-09-06 14:20:43"
"Yahoo_Messenger_Messages","Object","Port Object","","5050","","1834da1a-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"YahooMessenger_Voice_Chat_TCP","Object","Port Object","","5000-5001","","1834db96-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"YahooMessenger_Voice_Chat_UDP","Object","Port Object","","5000-5010","","1834dc86-38bb-11e2-86aa-62f0c593a59a","2025-09-06 14:20:43"
"WEB_SVCS","Group","Port Group","TCP_443; TCP_8443","WEB_SVCS","","0050569B-DF62-0ed3-0000-004295171345","2025-09-06 14:20:43"
